"ID","Propiedad","Tipo","Ruta"
"44","Rali Business Center - Oficina 810","Principal","/images/properties/rali/sala-juntas-ejecutiva.webp"
"44","Rali Business Center - Oficina 810","Galeria","/images/properties/rali/sala-juntas-ejecutiva.webp"
"44","Rali Business Center - Oficina 810","Galeria","/images/properties/rali/fachada-rali-street-view.webp"
"44","Rali Business Center - Oficina 810","Galeria","/images/properties/rali/lobby-escaleras-anillo-luz.webp"
"45","Rali Business Center - Oficina 826","Principal","/images/properties/rali/fachada-rali-avenida-balboa.webp"
"45","Rali Business Center - Oficina 826","Galeria","/images/properties/rali/fachada-rali-avenida-balboa.webp"
"45","Rali Business Center - Oficina 826","Galeria","/images/properties/rali/fachada-rali-street-view.webp"
"45","Rali Business Center - Oficina 826","Galeria","/images/properties/rali/lobby-escaleras-anillo-luz.webp"
"135","Boulevard Plaza Costa Verde - OcupaciÃ³n Completa","Principal","/images/properties/boulevard-plaza/hero-1.webp"
"135","Boulevard Plaza Costa Verde - OcupaciÃ³n Completa","Galeria","/images/properties/boulevard-plaza/hero-1.webp"
"135","Boulevard Plaza Costa Verde - OcupaciÃ³n Completa","Galeria","/images/properties/boulevard-plaza/hero-2.webp"
"135","Boulevard Plaza Costa Verde - OcupaciÃ³n Completa","Galeria","/images/properties/boulevard-plaza/hero-3.webp"
"135","Boulevard Plaza Costa Verde - OcupaciÃ³n Completa","Galeria","/images/properties/boulevard-plaza/hero-4.webp"
"135","Boulevard Plaza Costa Verde - OcupaciÃ³n Completa","Galeria","/images/properties/boulevard-plaza/hero-5.webp"
"135","Boulevard Plaza Costa Verde - OcupaciÃ³n Completa","Galeria","/images/properties/boulevard-plaza/hero-6.webp"
"141","Sunset Strip - Local 11","Plano","/images/properties/sunset-strip/nivel-00.webp"
"146","Sunset Strip - Local 10","Plano","/images/properties/sunset-strip/nivel-00.webp"
"147","Sunset Strip - Local 14","Plano","/images/properties/sunset-strip/nivel-00.webp"
"148","Sunset Strip - Local 109","Plano","/images/properties/sunset-strip/nivel-100.webp"
"142","Sunset Strip - Local 25","Plano","/images/properties/sunset-strip/nivel-00.webp"
"143","Sunset Strip - Local 26","Plano","/images/properties/sunset-strip/nivel-00.webp"
"144","Sunset Strip - Local 134","Plano","/images/properties/sunset-strip/nivel-100.webp"
"145","Sunset Strip - Oficina 206","Plano","/images/properties/sunset-strip/nivel-200.webp"
"161","Boulevard Costa Verde - Local L13","Principal","/images/properties/boulevard-plaza/hero-1.webp"
"161","Boulevard Costa Verde - Local L13","Galeria","/images/properties/boulevard-plaza/hero-1.webp"
"161","Boulevard Costa Verde - Local L13","Galeria","/images/properties/boulevard-plaza/hero-2.webp"
"161","Boulevard Costa Verde - Local L13","Galeria","/images/properties/boulevard-plaza/hero-3.webp"
"161","Boulevard Costa Verde - Local L13","Galeria","/images/properties/boulevard-plaza/hero-4.webp"
"161","Boulevard Costa Verde - Local L13","Galeria","/images/properties/boulevard-plaza/hero-5.webp"
"161","Boulevard Costa Verde - Local L13","Galeria","/images/properties/boulevard-plaza/hero-6.webp"
"162","Boulevard Costa Verde - Local L14","Principal","/images/properties/boulevard-plaza/hero-1.webp"
"162","Boulevard Costa Verde - Local L14","Galeria","/images/properties/boulevard-plaza/hero-1.webp"
"162","Boulevard Costa Verde - Local L14","Galeria","/images/properties/boulevard-plaza/hero-2.webp"
"162","Boulevard Costa Verde - Local L14","Galeria","/images/properties/boulevard-plaza/hero-3.webp"
"162","Boulevard Costa Verde - Local L14","Galeria","/images/properties/boulevard-plaza/hero-4.webp"
"162","Boulevard Costa Verde - Local L14","Galeria","/images/properties/boulevard-plaza/hero-5.webp"
"162","Boulevard Costa Verde - Local L14","Galeria","/images/properties/boulevard-plaza/hero-6.webp"
"258","New West Costa Verde - Modelo Nevada (Entrega Inmediata)","Principal","/images/properties/new-west/modelo-nevada.webp"
"258","New West Costa Verde - Modelo Nevada (Entrega Inmediata)","Galeria","/images/properties/new-west/modelo-nevada.webp"
"259","New West Costa Verde - Modelo Ilana","Principal","/images/properties/new-west/modelo-ilana.webp"
"259","New West Costa Verde - Modelo Ilana","Galeria","/images/properties/new-west/modelo-ilana.webp"
"260","New West Costa Verde - Modelo Jazmin","Principal","/images/properties/new-west/modelo-jazmin.webp"
"260","New West Costa Verde - Modelo Jazmin","Galeria","/images/properties/new-west/modelo-jazmin.webp"
"261","New West Costa Verde - Modelo Cedro (Entrega Inmediata)","Principal","/images/properties/new-west/modelo-cedro.webp"
"261","New West Costa Verde - Modelo Cedro (Entrega Inmediata)","Galeria","/images/properties/new-west/modelo-cedro.webp"
"262","New West Costa Verde - Modelo Roble","Principal","/images/properties/new-west/modelo-roble.webp"
"262","New West Costa Verde - Modelo Roble","Galeria","/images/properties/new-west/modelo-roble.webp"
